species_id,gas_E_Eh,gas_file,gas_sha256,smd_E_Eh,smd_file,smd_sha256,delta_G_solv_Eh,delta_G_solv_kcal,geometry_consistent,geometry_note
anisole,-346.719674972887,/home/runner/workspace/results/tier_a/anisole.out,aad4a0d2e080d6c3f12879703706ff5a5a4867839c5528eee14d31b92466b7e9,-346.722414271535,/home/runner/workspace/results_pod/results/anisole_smd.out,d970f8e767c8c6db7cbac01e8f0214d29dab008b600c243a84980620a9bd88ff,-0.002739299,-1.7189,True,Geometries identical (max_diff=0.0000 Å)
benzene,-232.202290813244,/home/runner/workspace/results/tier_a/benzene.out,3096e2f3b4b5870db180d55dbb8dfbc01e5cc33a8552452443fe60e13b832854,-232.203520456474,/home/runner/workspace/results_pod/results/benzene_smd.out,56b6bc0b07493f4be978169f4f42f2a3c8f385897b7ee9f8d5d85b14757274e4,-0.001229643,-0.7716,True,Geometries identical (max_diff=0.0000 Å)
catechol,-382.657500932119,/home/runner/workspace/results/tier_a/catechol.out,114cf74d1b39614eea18dbe08071e2bb3c41c4a2c87c4a45c2a3069caa1081f4,-382.669645863505,/home/runner/workspace/results/tier_a/catechol_smd.out,ecb4431b10c91254c48db24a0385352331cb064cd58a0b0dc7bb42ecee1682b7,-0.012144931,-7.6211,True,Geometries identical (max_diff=0.0000 Å)
cu2i2_linear,,,,,,,,,,SMD calculation not yet run
cu2i2_linear_a53,,,,,,,,,,SMD calculation not yet run
cu2i2_rhombic,,,,,,,,,,SMD calculation not yet run
cu2i2_rhombic_a53,,,,,,,,,,SMD calculation not yet run
cu2i2_rhombic_tzvpp,,,,,,,,,,SMD calculation not yet run
cu2i2_rhombic_tzvpp_a53,,,,,,,,,,SMD calculation not yet run
cu_anisole_methoxyO,-1986.932016609288,/home/runner/workspace/results/tier_a/cu_anisole_methoxyO.out,89592b6ace4bc73e7e2e231265cd9674fe49c07c67308572a460c386cf039dd1,-1987.031747685019,/home/runner/workspace/results/tier_a/cu_anisole_methoxyO_smd.out,45722813ee448e58b5c1ac1bd61244e8009782dae7c26fe9551b60ed434ee602,-0.099731076,-62.5822,True,Geometries identical (max_diff=0.0000 Å)
cu_anisole_pi,-1986.950126134658,/home/runner/workspace/results/tier_a/cu_anisole_pi_freq.out,326cb45681969f07e2d9a99c7a4da67d3506d886ace8e990be8020fae92c6391,-1987.042745057443,/home/runner/workspace/results/tier_a/cu_anisole_pi_smd.out,79721096d6fa016e6e773b0360dc1d07c4a8f4e3b74db9e7da1ad1f087895818,-0.092618923,-58.1193,True,Geometries identical (max_diff=0.0000 Å)
cu_benzene_pi,-1872.4236474102,/home/runner/workspace/results/tier_a/cu_benzene_pi.out,07b39c1e4110241bc3a750f6d1fe6a68670bc1645c7a4a7cadd773422f4f7e74,-1872.518170078107,/home/runner/workspace/results/tier_a/cu_benzene_pi_smd.out,d6e5457ac61f79ed9b2940feabc8288d64c997ebc79d0739f5a2ce6889fd94be,-0.094522668,-59.3139,True,Geometries identical (max_diff=0.0000 Å)
cu_catechol_bidentate,-2022.845350963277,/home/runner/workspace/results/tier_a/cu_catechol_bidentate.out,796e3aa33da50d3b8a8cab70b1fed63e28f9e78a48cc132f8e9972d1162df08f,-2022.971157057666,/home/runner/workspace/results/tier_a/cu_catechol_bidentate_smd.out,966293e7600b4bb1e1d7867e4deda7aee3843cfd26a9f6e3396d9d74ba8ade57,-0.125806094,-78.9445,True,Geometries identical (max_diff=0.0000 Å)
cu_catechol_pi,-2022.887370861674,/home/runner/workspace/results/tier_a/cu_catechol_pi.out,e2b8883d2956bf537a8e697482fadc863e00a25ac2de7578ffd8d57bba443090,-2022.990985522653,/home/runner/workspace/results/tier_a/cu_catechol_pi_smd.out,62612d96290f1bc6cfb2ad241676ed8a8bf9201d1075ed42a3435b5dac3b054d,-0.103614661,-65.0192,True,Geometries identical (max_diff=0.0000 Å)
cu_cyclohexanol_O,-1951.268681295893,/home/runner/workspace/results/tier_a/cu_cyclohexanol_O.out,0d2cc0978d69d7dbaeb3842f124c6f50d4212082f81a14fb6135d1c515bcfea0,-1951.368932170903,/home/runner/workspace/results/tier_a/cu_cyclohexanol_O_smd.out,a1efc45a6dc5a22f12036c99dc6dcb745c3e1d4fcae4aae881c500e9aa9e4d2c,-0.100250875,-62.9084,True,Geometries identical (max_diff=0.0000 Å)
cu_galacturonateH_complex,-1944.500415650486,/home/runner/workspace/results_pod/results/cu_galacturonateH_complex_opt_freq.out,aa22d6f4e5218a1922cc1b8695db5469c40392323eaf6d163ead0c035cba5b70,-1944.61832412429,/home/runner/workspace/results_pod/results/cu_galacturonateH_complex_smd_sp.out,73c88dd835d0780b398dcfb749cc880abad661a0db392fe8ff75b7bb14798bc9,-0.117908474,-73.9887,True,Geometries identical (max_diff=0.0000 Å)
cu_galacturonate_anion_complex,-1944.153781028924,/home/runner/workspace/results_pod/results/cu_galacturonate_anion_complex_opt_freq.out,6f5fd1ec8ef5e7e04070d685fbeff19317533b176ff9201425cb21134bbcf29a,-1944.183696368608,/home/runner/workspace/results_pod/results/cu_galacturonate_anion_complex_smd_sp.out,fe78c174d104c86ea5afcaf06be580359b9273cc3a8392c4e8c0203d20956037,-0.02991534,-18.7722,False,Geometry mismatch: max atomic diff = 0.1057 Å
cu_guaiacol_methoxyO,-2062.169790442033,/home/runner/workspace/results_pod/results/cu_guaiacol_methoxyO_opt_freq.out,91f76a3a6d7dcb9985807d5c3353bf721933a486339abd71e91a2b773b2f545a,-2062.264613997395,/home/runner/workspace/results_pod/results/cu_guaiacol_methoxyO_smd_sp.out,42ec93cb542043bd66684122eee399a131c5dd39b0895f338e59acbbec2e93f7,-0.094823555,-59.5027,True,Geometries identical (max_diff=0.0000 Å)
cu_guaiacol_phenolicO,-2062.128411262091,/home/runner/workspace/results_pod/results/cu_guaiacol_phenolicO_opt_freq.out,892d4df2384e6aa97ab904528deb08bb2fdabd6bf3300a8260ea2f78006963d2,-2062.24399342338,/home/runner/workspace/results_pod/results/cu_guaiacol_phenolicO_smd_sp.out,a2dca435da3f2b97be8f8d2231b08de34e47e88680a9b07daae14ede5d956c69,-0.115582161,-72.5289,True,Geometries identical (max_diff=0.0000 Å)
cu_guaiacol_pi,-2062.182033289651,/home/runner/workspace/results_pod/results/cu_guaiacol_pi_opt_freq.out,c8fafd3d3235d5b51933848d17ac310263ae9634417aa6934c0ed970ed46baad,-2062.2766303891,/home/runner/workspace/results_pod/results/cu_guaiacol_pi_smd_sp.out,7052e13c8642c58f3d14ab4925f6e29ecf2229228be5c2baba9872f24ebcf7c2,-0.094597099,-59.3606,True,Geometries identical (max_diff=0.0000 Å)
cu_ion,-1640.134600256611,/home/runner/workspace/results_pod/results/cu_ion_sp.out,09f24ee49f90fdbbe323a1254dbdcc1ee81407ff5f1fa026d423158f459c4433,-1640.276595129771,/home/runner/workspace/results_pod/results/cu_ion_smd_sp.out,93c184403396f8dd622240d128db4f0931be3fc71123032b92352b5422609242,-0.141994873,-89.1031,True,Geometries identical (max_diff=0.0000 Å)
cu_ion_cu2plus,,,,,,,,,,SMD calculation not yet run
cu_meta_methoxyphenol_phenolicO,-2062.100968129885,/home/runner/workspace/results/tier_a/cu_meta_methoxyphenol_phenolicO.out,c353057f79530965979903ab5d76057a34abbb91181db60a622fff4543214a69,-2062.225189413215,/home/runner/workspace/results/tier_a/cu_meta_methoxyphenol_phenolicO_smd.out,d07591b34a9c0850cf94d6eb92373f0d5c0f75cc1433c724d7346139fabe9e47,-0.124221283,-77.95,True,Geometries identical (max_diff=0.0000 Å)
cu_meta_methoxyphenol_pi,-2062.181939248162,/home/runner/workspace/results/tier_a/cu_meta_methoxyphenol_pi_freq.out,3872227593de60f8a5f0f548bd9242db111783a7d454cd8372565720d050392a,-2062.277620930488,/home/runner/workspace/results/tier_a/cu_meta_methoxyphenol_pi_smd.out,bb39a36596e25a7b54cb86f8ba69861d73e16e8ece2df568ad3261fceee60949,-0.095681682,-60.0412,True,Geometries identical (max_diff=0.0000 Å)
cu_methanol,-1755.922984539419,/home/runner/workspace/results_pod/results/cu_methanol_opt_freq.out,202a2399e1ac8dafb75f7cecef0443d235224606324464bef50b66e794001622,-1756.033897303515,/home/runner/workspace/results_pod/results/cu_methanol_smd_sp.out,23a942f71c8e7b6d2cef19722098ec89d9586a910ab67b4df6c501b593d7821a,-0.110912764,-69.5988,True,Geometries identical (max_diff=0.0000 Å)
cu_para_methoxyphenol_phenolicO,-2062.157861290545,/home/runner/workspace/results/tier_a/cu_para_methoxyphenol_phenolicO.out,8ec7aba4154095ca33c3fcdbe35ae79ae23ff5492717ffa0bd23a3d55eed16a8,-2062.261677140382,/home/runner/workspace/results/tier_a/cu_para_methoxyphenol_phenolicO_smd.out,b943671a2aa02d3fa5c060263abef12407b09feb66a6c99a8232a356b99478a7,-0.10381585,-65.1454,True,Geometries identical (max_diff=0.0000 Å)
cu_para_methoxyphenol_pi,-2062.171498453095,/home/runner/workspace/results/tier_a/cu_para_methoxyphenol_pi.out,754f30e146b26984809e0ef6d46ae55010f79e29f8a37d6bc682129b9b5eb576,-2062.272834140743,/home/runner/workspace/results/tier_a/cu_para_methoxyphenol_pi_smd.out,08e87de6bc6dd73d4bb8f90969242fcfe302341090820ff8a93ab9b9c1701840,-0.101335688,-63.5891,True,Geometries identical (max_diff=0.0000 Å)
cu_phenol_O,-1947.599449856203,/home/runner/workspace/results_pod/results/cu_phenol_O_opt_freq.out,02a6366b4ca090032d02eb28522d7e28ad98019c237c8b045e5c7324cdffb17b,-1947.724277836535,/home/runner/workspace/results_pod/results/cu_phenol_O_smd_sp.out,5aa4d566574ab5f8ed844f9432ca5fcf7499a2c22bfb2e6814e0a3fb7e342794,-0.12482798,-78.3307,True,Geometries identical (max_diff=0.0000 Å)
